ID cliente,Volumen Medio Anual,Precio Promedio por caja,Días de Retraso,Periodos con Compra promedio,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3
1,15008,18115,45,6,2,0.76317475828874426,0.92176576700122437,0.35720712978165359,0.80986814150704278
2,27294,14232,40,10,2,0.93667039050813161,1.3489659288085525,0.8109242826549089,1.1604406910068312
3,18126,16901,10,10,0,0.46172357123745988,0.9646744354857878,0.65908611366580583,0.71204403462147792
4,14745,19153,15,11,0,0.34149813412499286,0.95704439700810162,0.56615602161001866,0.6540274543216531
5,11634,17704,60,11,2,0.82874928220350086,1.246495524265617,0.48924024619120077,1.0100499145103499
6,10621,19544,0,11,0,0.22242106635144074,0.86235124627265147,0.68543891113814681,0.52820477417994749
7,6946,23159,30,9,2,0.3606595316513756,0.77329336816278349,0.214663725499369,0.48924812955089231
8,12891,17803,10,12,0,0.29618603702126911,0.98346523768326677,0.63423185951008421,0.64901571496139177
9,12294,17564,65,7,2,0.95706028123986386,1.1466651386712345,0.46563126134677307,1.0185445655658711
10,12781,16806,15,11,0,0.29922428099372655,0.92593945390496957,0.53219779997650951,0.60930306739513374
11,11052,19689,0,12,0,0.25792925879330614,0.9436742130610255,0.72965358444631079,0.59960938254774665
12,8142,16605,0,11,0,0.20978720579774568,0.83573299039782756,0.67199455727492818,0.48623298773719442
13,5558,16829,30,8,2,0.42358872787566376,0.70856491099288132,0.15245855397218555,0.45642652432566738
14,4816,19408,15,10,0,0.14961392284276445,0.73477125709547453,0.42658843106894129,0.3657907307964266
15,2786,19129,10,5,3,0.49338130048453804,0.31751717623576259,0.49905037803253993,0.17881350710946045
16,4702,16873,0,11,0,0.20085294739518331,0.79983398266984174,0.669977676969559,0.42833873016960872
17,4298,18531,0,12,0,0.21206885452463051,0.87226824193633934,0.71097068852387113,0.49026527066129261
18,3199,26306,30,10,2,0.364294547496014,0.814639540577552,0.32698198807392065,0.49698373776457738
19,4229,19852,10,10,0,0.11668576753710071,0.71322357052150442,0.49674027681040633,0.33061960853862704
20,9311,16795,25,8,2,0.38276987309910543,0.71844443611078013,0.24910820588074342,0.47094238873826505
21,1746,21771,15,8,3,0.29271747787617675,0.55523154645817319,0.40687991007365371,0.19948114891637839
22,2635,19531,30,5,2,0.5947548308275975,0.51079378842440248,0.27281500740101977,0.41279306454071552
23,3702,19109,45,7,2,0.6522512050367596,0.79664765479162936,0.13822328405003645,0.62784178953172443
24,2080,20181,15,11,0,0.19618641522640087,0.79695623512923086,0.49610582728316749,0.4101327526585391
25,2254,18954,15,10,0,0.20667200346301712,0.7205596269155915,0.4474480550197022,0.34219167573665948
26,554,49462,20,11,0,0.68573129898547547,1.0276999078095659,0.8556608366342372,0.77494795517116
27,1653,17629,35,8,2,0.50898580819230987,0.7295720370657206,0.18559561728831797,0.48969067521039894
28,2053,21813,10,10,0,0.16503404493376861,0.69823277201346079,0.518354965065543,0.30442634528267515
29,1402,19512,0,6,3,0.44938438929509678,0.36608187531037489,0.630344525269119,0.11392769038810616
30,8875,16879,0,8,0,0.305419293082395,0.62507152432848556,0.60619904795649071,0.35317983846736678
31,1227,18530,15,7,3,0.38117723993448,0.48641673028271115,0.40782379614818137,0.18188038758260361
32,1170,26268,0,12,0,0.26545593918220395,0.85817325536278588,0.75106853922787342,0.47421721147129808
33,1576,18965,0,9,3,0.26826388097659382,0.61282112951598433,0.63213795107615212,0.23842203075847584
34,1293,18392,30,6,2,0.55035392905330616,0.55810202914814677,0.25193210549410705,0.39610786127512015
35,1275,17415,10,7,3,0.37527051842736608,0.46885812454575371,0.47824521697857059,0.14564000800182816
36,3404,18056,45,9,2,0.59983373167899867,0.90002870711310168,0.19660059451563056,0.66193042807423541
37,889,29437,15,8,3,0.34714830595916851,0.57408096618189419,0.48304393056603784,0.25736525155162743
38,1545,19433,30,10,2,0.38676988048539751,0.80863610466148794,0.30678935864593693,0.4864074796862437
